Repetition_nr;Nitrogen_level;Soil_conditioning;Setup_IAN;Invasive_species;Species;Status;Shoot_dry_weight;Root_dry_weight
3;32;T;A;Solidago_gigantea;Plantago;N;110,7;54,9
3;32;T;A;Solidago_gigantea;Ranunculus;N;105,2;56,4
1;64;T;A;Solidago_gigantea;Invasive;I;373;64
1;64;T;A;Solidago_gigantea;Agrostis;N;164,5;49,3
1;64;T;A;Solidago_gigantea;Centaurea;N;157,8;74,5
1;64;T;A;Solidago_gigantea;Plantago;N;178,1;36,4
1;64;T;A;Solidago_gigantea;Ranunculus;N;0;0
2;64;T;A;Solidago_gigantea;Invasive;I;419;142
2;64;T;A;Solidago_gigantea;Agrostis;N;51,6;11,9
2;64;T;A;Solidago_gigantea;Centaurea;N;217,3;123,8
2;64;T;A;Solidago_gigantea;Plantago;N;299,3;88,7
2;64;T;A;Solidago_gigantea;Ranunculus;N;33,8;8,2
3;64;T;A;Solidago_gigantea;Invasive;I;464,6;214,4
3;64;T;A;Solidago_gigantea;Agrostis;N;3,5;4,1
3;64;T;A;Solidago_gigantea;Centaurea;N;124,9;33,2
3;64;T;A;Solidago_gigantea;Plantago;N;9,1;0
3;64;T;A;Solidago_gigantea;Ranunculus;N;74,6;24,5
1;4;C;N;All;Agrostis;N;5,9;1,4
1;4;C;N;All;Centaurea;N;71,9;53,4
1;4;C;N;All;Plantago;N;38,1;44,7
1;4;C;N;All;Ranunculus;N;6,9;0
2;4;C;N;All;Agrostis;N;5,3;5,4
2;4;C;N;All;Centaurea;N;46,4;59
2;4;C;N;All;Plantago;N;23,2;16
2;4;C;N;All;Ranunculus;N;3,7;0
3;4;C;N;All;Agrostis;N;5,7;5,2
3;4;C;N;All;Centaurea;N;43,9;46,1
3;4;C;N;All;Plantago;N;52,3;43
3;4;C;N;All;Ranunculus;N;16,6;13,7
1;8;C;N;All;Agrostis;N;34,9;22,4
1;8;C;N;All;Centaurea;N;215,7;247,1
1;8;C;N;All;Plantago;N;138,7;86,3
1;8;C;N;All;Ranunculus;N;0;0
2;8;C;N;All;Agrostis;N;68,1;19,6
2;8;C;N;All;Centaurea;N;130,1;30,8
2;8;C;N;All;Plantago;N;52,7;16,2
2;8;C;N;All;Ranunculus;N;0;0
3;8;C;N;All;Agrostis;N;39,8;11,6
3;8;C;N;All;Centaurea;N;224,2;120
3;8;C;N;All;Plantago;N;43;11,4
3;8;C;N;All;Ranunculus;N;0;0
1;16;C;N;All;Agrostis;N;0;0
1;16;C;N;All;Centaurea;N;244,5;134,4
1;16;C;N;All;Plantago;N;446,1;99,3
1;16;C;N;All;Ranunculus;N;9,5;0
2;16;C;N;All;Agrostis;N;331,1;110
2;16;C;N;All;Centaurea;N;130,3;83,1
2;16;C;N;All;Plantago;N;242,1;169,4
2;16;C;N;All;Ranunculus;N;92;51,3
3;16;C;N;All;Agrostis;N;75,8;25
3;16;C;N;All;Centaurea;N;271,6;261
3;16;C;N;All;Plantago;N;581,5;343,2
3;16;C;N;All;Ranunculus;N;0;0
1;32;C;N;All;Agrostis;N;114,2;68,1
1;32;C;N;All;Centaurea;N;204;271
1;32;C;N;All;Plantago;N;1244,3;450
1;32;C;N;All;Ranunculus;N;84,6;72,1
2;32;C;N;All;Agrostis;N;59,2;19
2;32;C;N;All;Centaurea;N;276;280,1
2;32;C;N;All;Plantago;N;453,1;164,4
2;32;C;N;All;Ranunculus;N;118,4;74,9
3;32;C;N;All;Agrostis;N;114,1;58,1
3;32;C;N;All;Centaurea;N;430,8;229
3;32;C;N;All;Plantago;N;422,6;165,3
3;32;C;N;All;Ranunculus;N;229,7;129,6
1;64;C;N;All;Agrostis;N;290;111,4
1;64;C;N;All;Centaurea;N;211;128,4
1;64;C;N;All;Plantago;N;609,5;250,1
1;64;C;N;All;Ranunculus;N;142;66
2;64;C;N;All;Agrostis;N;157,6;71,4
2;64;C;N;All;Centaurea;N;467,6;411
2;64;C;N;All;Plantago;N;343,7;148,8
2;64;C;N;All;Ranunculus;N;21,2;6,2
3;64;C;N;All;Agrostis;N;232,1;100,8
3;64;C;N;All;Centaurea;N;257,4;236,3
3;64;C;N;All;Plantago;N;981,4;450
3;64;C;N;All;Ranunculus;N;213;86,6
1;4;T;N;Solidago_gigantea;Agrostis;N;5,6;3,8
